match_id,match_time,bo,team1_id,team1,team2_id,team2,event_id,event_name,event_logo,event_start_time,event_end_time,score1,score2,status
csgo_mc_2393551,2026-04-26 17:00:00,3,hltv_team_13543,Time Waves,hltv_team_13685,Skele,csgo_tt_9127, ESL 挑战者联赛 S51 大洋洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
csgo_mc_2393421,2026-04-26 18:30:00,3,,TBD,,TBD,csgo_tt_8956,CCT 全球总决赛 2026,https://oss.5eplay.com/sport/csgo/event/7517.png,2026-04-24 18:00:00,2026-04-26 18:00:00,0,0,0
csgo_mc_2393393,2026-04-26 19:00:00,3,,TBD,,TBD,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393430,2026-04-26 19:00:00,3,,TBD,,TBD,csgo_tt_9036,LORGAR排名赛 S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d6irdq4conkpudhr3mv0.webp,2026-04-25 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393200,2026-04-26 19:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
csgo_mc_2393568,2026-04-26 21:00:00,3,csgo_tm_4863,TYLOO,hltv_team_13736,Sensation,csgo_tt_9128, ESL 挑战者联赛 S51 亚洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
csgo_mc_2393569,2026-04-26 21:00:00,3,csgo_tm_9958,AE,hltv_team_12825,The QUBE,csgo_tt_9128, ESL 挑战者联赛 S51 亚洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
csgo_mc_2393570,2026-04-26 21:00:00,3,csgo_tm_11514,RA,hltv_team_13053,Just Swing,csgo_tt_9128, ESL 挑战者联赛 S51 亚洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
csgo_mc_2393571,2026-04-26 21:00:00,3,csgo_tm_10287,Legion,hltv_team_12646,CW,csgo_tt_9128, ESL 挑战者联赛 S51 亚洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
csgo_mc_2393573,2026-04-26 21:00:00,3,hltv_team_13735,Haunted House,hltv_team_13331,Kaleido,csgo_tt_9128, ESL 挑战者联赛 S51 亚洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-26 00:00:00,2026-05-03 23:59:59,0,0,0
