match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2374248,2,Mirage,13,7,t1,csgo_tm_11955,LAG,2026-04-22 15:11:55
csgo_mc_2374249,1,Nuke,8,13,t2,csgo_tm_7720,InControl,2026-04-22 15:11:55
csgo_mc_2374249,2,Ancient,11,13,t2,csgo_tm_7720,InControl,2026-04-22 15:11:55
csgo_mc_2374250,1,Anubis,13,16,t2,csgo_tm_11336,Detonate,2026-04-22 15:11:53
csgo_mc_2374250,2,Vertigo,8,13,t2,csgo_tm_11336,Detonate,2026-04-22 15:11:53
csgo_mc_2374252,1,Mirage,13,2,t1,hltv_team_12567,Akimbo,2026-04-22 15:11:49
csgo_mc_2374252,2,Dust2,13,6,t1,hltv_team_12567,Akimbo,2026-04-22 15:11:49
csgo_mc_2374253,1,Ancient,13,3,t1,hltv_team_12722,E-Xolos LAZER,2026-04-22 15:11:49
csgo_mc_2374253,2,Anubis,13,9,t1,hltv_team_12722,E-Xolos LAZER,2026-04-22 15:11:49
csgo_mc_2374254,1,Ancient,13,5,t1,hltv_team_12245,FA,2026-04-22 15:11:47
csgo_mc_2374254,2,Anubis,13,10,t1,hltv_team_12245,FA,2026-04-22 15:11:47
csgo_mc_2374255,1,Dust2,4,13,t2,hltv_team_12419,undefined,2026-04-22 15:11:47
csgo_mc_2374255,2,Anubis,13,16,t2,hltv_team_12419,undefined,2026-04-22 15:11:47
csgo_mc_2374263,1,Vertigo,13,9,t1,csgo_tm_5005,COL,2026-04-22 15:11:48
csgo_mc_2374263,2,Dust2,19,17,t1,csgo_tm_5005,COL,2026-04-22 15:11:48
csgo_mc_2374264,1,Ancient,16,13,t1,csgo_tm_9996,9z,2026-04-22 15:11:46
csgo_mc_2374264,2,Nuke,13,2,t1,csgo_tm_9996,9z,2026-04-22 15:11:46
csgo_mc_2374265,1,Anubis,13,8,t1,csgo_tm_8297,FURIA,2026-04-22 15:11:48
csgo_mc_2374265,2,Nuke,11,13,t2,csgo_tm_5973,Liquid,2026-04-22 15:11:48
csgo_mc_2374265,3,Mirage,7,13,t2,csgo_tm_5973,Liquid,2026-04-22 15:11:48
csgo_mc_2374266,1,Anubis,7,13,t2,csgo_tm_7532,BIG,2026-04-22 15:11:48
csgo_mc_2374266,2,Ancient,13,5,t1,csgo_tm_10567,SAW,2026-04-22 15:11:48
csgo_mc_2374266,3,Inferno,13,11,t1,csgo_tm_10567,SAW,2026-04-22 15:11:48
csgo_mc_2374267,1,Anubis,11,13,t2,csgo_tm_11283,Falcons,2026-04-22 15:11:48
csgo_mc_2374267,2,Mirage,9,13,t2,csgo_tm_11283,Falcons,2026-04-22 15:11:48
