player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_4679,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_4679,kast,76.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_4679,kpr,0.73,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_4679,rating,1.22,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_4679,swing,+1.34%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_20462,adr,72.4,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_20462,dpr,0.59,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_20462,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20462,kast,73.8,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_20462,kpr,0.74,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_20462,rating,1.17,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20462,swing,+1.78%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_17384,adr,79.7,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_17384,dpr,0.67,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_17384,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_17384,kast,76.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_17384,kpr,0.72,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_17384,rating,1.21,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_17384,swing,+1.38%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_11140,adr,76.2,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_11140,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_11140,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_11140,kast,75.0,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_11140,kpr,0.67,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_11140,rating,1.12,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_11140,swing,+0.04%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_18214,adr,71.7,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_18214,dpr,0.63,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_18214,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_18214,kast,76.8,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_18214,kpr,0.65,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
